gameId;withRuleTotal;withRuleWins;withRuleLosses;withoutRuleTotal;withoutRuleWins;withoutRuleLosses;rule
10000;171200;85600;85600;171200;85600;85600;hasSinglePlayableCard
10000;171200;92383;78817;171200;78817;92383;not(hasSinglePlayableCard)
10000;145642;82036;63606;145703;80003;65700;not(hasSinglePlayableCard),isStartPosition
10000;80712;69580;11132;80731;68384;12347;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam
10000;77577;67274;10303;77631;66291;11340;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps
10000;8728;7584;1144;8728;7484;1244;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,isPotentialPartnerPossiblyTrumpFree
10000;3640;3536;104;3640;3546;94;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,isPotentialPartnerPossiblyTrumpFree,canForceWinRound
10000;5608;4560;1048;5608;4470;1138;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,isPotentialPartnerPossiblyTrumpFree,not(canForceWinRound)
10000;77283;67049;10234;77305;66068;11237;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree)
10000;39272;34513;4759;39256;34272;4984;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),hasAGoodAmountOfHighTrumps
10000;22989;20695;2294;22984;20568;2416;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),hasAGoodAmountOfHighTrumps,hasDominantTrumps
10000;22498;19127;3371;22501;18899;3602;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),hasAGoodAmountOfHighTrumps,not(hasDominantTrumps)
10000;66375;57962;8413;66338;57284;9054;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),not(hasAGoodAmountOfHighTrumps)
10000;48679;43126;5553;48666;42751;5915;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),not(hasAGoodAmountOfHighTrumps),hasMoreThan1TrumpsWithoutVolle
10000;33115;29199;3916;33088;28876;4212;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,hasTrumps,not(isPotentialPartnerPossiblyTrumpFree),not(hasAGoodAmountOfHighTrumps),not(hasMoreThan1TrumpsWithoutVolle)
10000;19689;17235;2454;19706;17076;2630;not(hasSinglePlayableCard),isStartPosition,isInPlayingTeam,not(hasTrumps)
10000;64762;10944;53818;64708;9946;54762;not(hasSinglePlayableCard),isStartPosition,not(isInPlayingTeam)
10000;41641;5938;35703;41678;5794;35884;not(hasSinglePlayableCard),isStartPosition,not(isInPlayingTeam),canSearchCalledAce
10000;46946;9453;37493;46925;8619;38306;not(hasSinglePlayableCard),isStartPosition,not(isInPlayingTeam),not(canSearchCalledAce)
10000;170371;90800;79571;170356;78783;91573;not(hasSinglePlayableCard),not(isStartPosition)
10000;146762;68905;77857;146773;59467;87306;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound)
10000;115868;58474;57394;115815;50777;65038;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards
10000;71768;44727;27041;71711;38728;32983;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound
10000;23088;12458;10630;22987;12278;10709;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,not(roundIsProbablySafeIfTrumped)
10000;21290;12037;9253;21234;11720;9514;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,not(roundIsProbablySafeIfTrumped),hasWinningTrumpsWithoutVolle
10000;15541;8541;7000;15502;8248;7254;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,not(roundIsProbablySafeIfTrumped),hasWinningTrumpsWithoutVolle,hasWinningCardsNoOberNoVolle
10000;6494;3832;2662;6500;3869;2631;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,not(roundIsProbablySafeIfTrumped),hasWinningTrumpsWithoutVolle,not(hasWinningCardsNoOberNoVolle)
10000;1922;499;1423;1922;527;1395;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,not(roundIsProbablySafeIfTrumped),not(hasWinningTrumpsWithoutVolle)
10000;59216;39380;19836;59336;33629;25707;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,canTrumpColorRound,roundIsProbablySafeIfTrumped
10000;78703;29917;48786;78864;28324;50540;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound)
10000;68460;24780;43680;68268;23085;45183;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound
10000;23825;10975;12850;23799;10402;13397;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,isHinterhand
10000;776;352;424;776;325;451;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,isHinterhand,hasLowWinningTrump
10000;23270;10706;12564;23250;10211;13039;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,isHinterhand,not(hasLowWinningTrump)
10000;48254;14224;34030;48308;13624;34684;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,not(isHinterhand)
10000;47892;14089;33803;47980;13579;34401;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,not(isHinterhand),hasWinningTrumpsWithoutVolle
10000;544;120;424;544;104;440;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),isTrumpRound,not(isHinterhand),not(hasWinningTrumpsWithoutVolle)
10000;18290;7693;10597;18278;7492;10786;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),not(isTrumpRound)
10000;1296;704;592;1296;616;680;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),not(isTrumpRound),isHinterhand
10000;17009;7004;10005;16995;6831;10164;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),not(isTrumpRound),not(isHinterhand)
10000;8005;3443;4562;8005;3434;4571;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),not(isTrumpRound),not(isHinterhand),not(winningCardIsHighestInColor)
10000;9162;3597;5565;9165;3410;5755;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),hasWinningCards,not(canTrumpColorRound),not(isTrumpRound),not(isHinterhand),winningCardIsHighestInColor
10000;99695;30009;69686;99658;28212;71446;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards)
10000;73112;16290;56822;73113;15293;57820;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),isTrumpRound
10000;69243;15539;53704;69196;14532;54664;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),isTrumpRound,not(roundMayBeWonByPartner)
10000;9390;1305;8085;9390;1292;8098;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),isTrumpRound,roundMayBeWonByPartner
10000;68005;20394;47611;68006;19595;48411;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound)
10000;12104;3017;9087;12112;2883;9229;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),hasLowValueBlankCard
10000;62527;18384;44143;62524;17671;44853;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard)
10000;208;56;152;208;57;151;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),canDiscardCalledColor
10000;62373;18354;44019;62410;17723;44687;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor)
10000;60976;17326;43650;60946;16744;44202;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),not(partnerMayBeAbleTrump)
10000;1498;684;814;1495;647;848;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),not(partnerMayBeAbleTrump),hasOnlyTrumpCards
10000;59728;16797;42931;59704;16161;43543;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),not(partnerMayBeAbleTrump),not(hasOnlyTrumpCards)
10000;2831;1501;1330;2828;1439;1389;not(hasSinglePlayableCard),not(isStartPosition),not(partnerHasRound),not(hasWinningCards),not(isTrumpRound),not(hasLowValueBlankCard),not(canDiscardCalledColor),partnerMayBeAbleTrump
10000;90819;55503;35316;90699;52707;37992;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound
10000;60420;34780;25640;60536;33462;27074;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe)
10000;39185;22176;17009;39204;21694;17510;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit
10000;28315;19609;8706;28290;19281;9009;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound
10000;18199;14169;4030;18214;13971;4243;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped
10000;17287;13383;3904;17261;13217;4044;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,not(roundIsExpensive)
10000;7668;6176;1492;7670;6095;1575;not(hasSinglePlayableCard),not(isStartPosition),partnerHasRound,not(roundIsProbablySafe),mustFollowSuit,isTrumpRound,highestTrumpMayBeOvertrumped,not(roundIsExpensive),hasGoodWinningCards
