gameId;strategy;wins;losses
1;CallingRulesWithHeuristic;16;16
1;CallingRulesWithUctMonteCarloStrategyAndCheating;16;16
2;CallingRulesWithHeuristic;31;33
2;CallingRulesWithUctMonteCarloStrategyAndCheating;33;31
3;CallingRulesWithHeuristic;47;49
3;CallingRulesWithUctMonteCarloStrategyAndCheating;49;47
4;CallingRulesWithHeuristic;47;49
4;CallingRulesWithUctMonteCarloStrategyAndCheating;49;47
5;CallingRulesWithHeuristic;63;65
5;CallingRulesWithUctMonteCarloStrategyAndCheating;65;63
6;CallingRulesWithHeuristic;63;65
6;CallingRulesWithUctMonteCarloStrategyAndCheating;65;63
7;CallingRulesWithHeuristic;63;65
7;CallingRulesWithUctMonteCarloStrategyAndCheating;65;63
8;CallingRulesWithHeuristic;79;81
8;CallingRulesWithUctMonteCarloStrategyAndCheating;81;79
9;CallingRulesWithHeuristic;90;102
9;CallingRulesWithUctMonteCarloStrategyAndCheating;102;90
10;CallingRulesWithHeuristic;90;102
10;CallingRulesWithUctMonteCarloStrategyAndCheating;102;90
11;CallingRulesWithHeuristic;90;102
11;CallingRulesWithUctMonteCarloStrategyAndCheating;102;90
12;CallingRulesWithHeuristic;90;102
12;CallingRulesWithUctMonteCarloStrategyAndCheating;102;90
13;CallingRulesWithHeuristic;106;118
13;CallingRulesWithUctMonteCarloStrategyAndCheating;118;106
14;CallingRulesWithHeuristic;121;135
14;CallingRulesWithUctMonteCarloStrategyAndCheating;135;121
15;CallingRulesWithHeuristic;137;151
15;CallingRulesWithUctMonteCarloStrategyAndCheating;151;137
16;CallingRulesWithHeuristic;153;167
16;CallingRulesWithUctMonteCarloStrategyAndCheating;167;153
17;CallingRulesWithHeuristic;153;167
17;CallingRulesWithUctMonteCarloStrategyAndCheating;167;153
18;CallingRulesWithHeuristic;169;183
18;CallingRulesWithUctMonteCarloStrategyAndCheating;183;169
19;CallingRulesWithHeuristic;185;199
19;CallingRulesWithUctMonteCarloStrategyAndCheating;199;185
20;CallingRulesWithHeuristic;201;215
20;CallingRulesWithUctMonteCarloStrategyAndCheating;215;201
21;CallingRulesWithHeuristic;217;231
21;CallingRulesWithUctMonteCarloStrategyAndCheating;231;217
22;CallingRulesWithHeuristic;233;247
22;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
23;CallingRulesWithHeuristic;233;247
23;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
24;CallingRulesWithHeuristic;233;247
24;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
25;CallingRulesWithHeuristic;233;247
25;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
26;CallingRulesWithHeuristic;233;247
26;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
27;CallingRulesWithHeuristic;233;247
27;CallingRulesWithUctMonteCarloStrategyAndCheating;247;233
