gameId;strategy;wins;losses
1;CallingRulesWithRandomPlay;17;15
1;CallingRulesWithUctMonteCarloStrategy;15;17
2;CallingRulesWithRandomPlay;31;33
2;CallingRulesWithUctMonteCarloStrategy;33;31
3;CallingRulesWithRandomPlay;47;49
3;CallingRulesWithUctMonteCarloStrategy;49;47
4;CallingRulesWithRandomPlay;47;49
4;CallingRulesWithUctMonteCarloStrategy;49;47
5;CallingRulesWithRandomPlay;63;65
5;CallingRulesWithUctMonteCarloStrategy;65;63
6;CallingRulesWithRandomPlay;63;65
6;CallingRulesWithUctMonteCarloStrategy;65;63
7;CallingRulesWithRandomPlay;63;65
7;CallingRulesWithUctMonteCarloStrategy;65;63
8;CallingRulesWithRandomPlay;78;82
8;CallingRulesWithUctMonteCarloStrategy;82;78
9;CallingRulesWithRandomPlay;90;102
9;CallingRulesWithUctMonteCarloStrategy;102;90
10;CallingRulesWithRandomPlay;90;102
10;CallingRulesWithUctMonteCarloStrategy;102;90
11;CallingRulesWithRandomPlay;90;102
11;CallingRulesWithUctMonteCarloStrategy;102;90
12;CallingRulesWithRandomPlay;90;102
12;CallingRulesWithUctMonteCarloStrategy;102;90
13;CallingRulesWithRandomPlay;106;118
13;CallingRulesWithUctMonteCarloStrategy;118;106
14;CallingRulesWithRandomPlay;119;137
14;CallingRulesWithUctMonteCarloStrategy;137;119
15;CallingRulesWithRandomPlay;134;154
15;CallingRulesWithUctMonteCarloStrategy;154;134
16;CallingRulesWithRandomPlay;150;170
16;CallingRulesWithUctMonteCarloStrategy;170;150
17;CallingRulesWithRandomPlay;150;170
17;CallingRulesWithUctMonteCarloStrategy;170;150
18;CallingRulesWithRandomPlay;164;188
18;CallingRulesWithUctMonteCarloStrategy;188;164
19;CallingRulesWithRandomPlay;180;204
19;CallingRulesWithUctMonteCarloStrategy;204;180
20;CallingRulesWithRandomPlay;194;222
20;CallingRulesWithUctMonteCarloStrategy;222;194
21;CallingRulesWithRandomPlay;207;241
21;CallingRulesWithUctMonteCarloStrategy;241;207
22;CallingRulesWithRandomPlay;220;260
22;CallingRulesWithUctMonteCarloStrategy;260;220
23;CallingRulesWithRandomPlay;220;260
23;CallingRulesWithUctMonteCarloStrategy;260;220
24;CallingRulesWithRandomPlay;220;260
24;CallingRulesWithUctMonteCarloStrategy;260;220
25;CallingRulesWithRandomPlay;220;260
25;CallingRulesWithUctMonteCarloStrategy;260;220
26;CallingRulesWithRandomPlay;220;260
26;CallingRulesWithUctMonteCarloStrategy;260;220
27;CallingRulesWithRandomPlay;220;260
27;CallingRulesWithUctMonteCarloStrategy;260;220
28;CallingRulesWithRandomPlay;220;260
28;CallingRulesWithUctMonteCarloStrategy;260;220
29;CallingRulesWithRandomPlay;236;276
29;CallingRulesWithUctMonteCarloStrategy;276;236
30;CallingRulesWithRandomPlay;236;276
30;CallingRulesWithUctMonteCarloStrategy;276;236
31;CallingRulesWithRandomPlay;249;295
31;CallingRulesWithUctMonteCarloStrategy;295;249
32;CallingRulesWithRandomPlay;263;313
32;CallingRulesWithUctMonteCarloStrategy;313;263
33;CallingRulesWithRandomPlay;263;313
33;CallingRulesWithUctMonteCarloStrategy;313;263
34;CallingRulesWithRandomPlay;263;313
34;CallingRulesWithUctMonteCarloStrategy;313;263
35;CallingRulesWithRandomPlay;279;329
35;CallingRulesWithUctMonteCarloStrategy;329;279
36;CallingRulesWithRandomPlay;279;329
36;CallingRulesWithUctMonteCarloStrategy;329;279
37;CallingRulesWithRandomPlay;279;329
37;CallingRulesWithUctMonteCarloStrategy;329;279
38;CallingRulesWithRandomPlay;279;329
38;CallingRulesWithUctMonteCarloStrategy;329;279
39;CallingRulesWithRandomPlay;293;347
39;CallingRulesWithUctMonteCarloStrategy;347;293
40;CallingRulesWithRandomPlay;293;347
40;CallingRulesWithUctMonteCarloStrategy;347;293
41;CallingRulesWithRandomPlay;309;363
41;CallingRulesWithUctMonteCarloStrategy;363;309
42;CallingRulesWithRandomPlay;309;363
42;CallingRulesWithUctMonteCarloStrategy;363;309
43;CallingRulesWithRandomPlay;324;380
43;CallingRulesWithUctMonteCarloStrategy;380;324
44;CallingRulesWithRandomPlay;338;398
44;CallingRulesWithUctMonteCarloStrategy;398;338
45;CallingRulesWithRandomPlay;350;418
45;CallingRulesWithUctMonteCarloStrategy;418;350
46;CallingRulesWithRandomPlay;367;433
46;CallingRulesWithUctMonteCarloStrategy;433;367
47;CallingRulesWithRandomPlay;381;451
47;CallingRulesWithUctMonteCarloStrategy;451;381
48;CallingRulesWithRandomPlay;381;451
48;CallingRulesWithUctMonteCarloStrategy;451;381
49;CallingRulesWithRandomPlay;393;471
49;CallingRulesWithUctMonteCarloStrategy;471;393
50;CallingRulesWithRandomPlay;406;490
50;CallingRulesWithUctMonteCarloStrategy;490;406
51;CallingRulesWithRandomPlay;422;506
51;CallingRulesWithUctMonteCarloStrategy;506;422
52;CallingRulesWithRandomPlay;438;522
52;CallingRulesWithUctMonteCarloStrategy;522;438
53;CallingRulesWithRandomPlay;452;540
53;CallingRulesWithUctMonteCarloStrategy;540;452
